id,selected_abstract,Human 1,Questions from DeepSeek,rqg_confidence,relevance,quality
3,we report on results of combining graphical modeling techniques with information extraction resources ( pattern dictionary and lexicon ) for both frame and semantic role assignment . our approach demonstrates the use of two human built knowledge bases ( wordnet and framenet ) for the task of semantic extraction .,"We mixed grafical modeling with info-extraction tools (a pattern dictonary + a lexicon) to label both frames and the semantic roles in text. Think of it like: the models handle the structurey bits, while the IE resources give us handy cues from real phrases. We also plugged in two human-built knowledge bases wordnet and framenet to guide the semantic pulling-out step. Result: cleaner frame/role asignments than using any single thing alone. It’s not magic, but the combo plays nice together and makes the extractor a fair bit smarter, even if some edges are still a lil rough.","What specific graphical modeling technique was employed (e.g., CRF, Bayesian network) and how were WordNet and FrameNet integrated?

",0.7094,Weakly Relevant,Weak
3,we report on results of combining graphical modeling techniques with information extraction resources ( pattern dictionary and lexicon ) for both frame and semantic role assignment . our approach demonstrates the use of two human built knowledge bases ( wordnet and framenet ) for the task of semantic extraction .,"We mixed grafical modeling with info-extraction tools (a pattern dictonary + a lexicon) to label both frames and the semantic roles in text. Think of it like: the models handle the structurey bits, while the IE resources give us handy cues from real phrases. We also plugged in two human-built knowledge bases wordnet and framenet to guide the semantic pulling-out step. Result: cleaner frame/role asignments than using any single thing alone. It’s not magic, but the combo plays nice together and makes the extractor a fair bit smarter, even if some edges are still a lil rough.","What evaluation metrics (F1, precision, recall) were achieved for frame and semantic role assignment?",0.4037,Weakly Relevant,Weak
3,we report on results of combining graphical modeling techniques with information extraction resources ( pattern dictionary and lexicon ) for both frame and semantic role assignment . our approach demonstrates the use of two human built knowledge bases ( wordnet and framenet ) for the task of semantic extraction .,"We mixed grafical modeling with info-extraction tools (a pattern dictonary + a lexicon) to label both frames and the semantic roles in text. Think of it like: the models handle the structurey bits, while the IE resources give us handy cues from real phrases. We also plugged in two human-built knowledge bases wordnet and framenet to guide the semantic pulling-out step. Result: cleaner frame/role asignments than using any single thing alone. It’s not magic, but the combo plays nice together and makes the extractor a fair bit smarter, even if some edges are still a lil rough.",How did the combined approach compare quantitatively against using graphical models or IE resources alone?,0.1208,Weakly Relevant,Weak
3,we report on results of combining graphical modeling techniques with information extraction resources ( pattern dictionary and lexicon ) for both frame and semantic role assignment . our approach demonstrates the use of two human built knowledge bases ( wordnet and framenet ) for the task of semantic extraction .,"We mixed grafical modeling with info-extraction tools (a pattern dictonary + a lexicon) to label both frames and the semantic roles in text. Think of it like: the models handle the structurey bits, while the IE resources give us handy cues from real phrases. We also plugged in two human-built knowledge bases wordnet and framenet to guide the semantic pulling-out step. Result: cleaner frame/role asignments than using any single thing alone. It’s not magic, but the combo plays nice together and makes the extractor a fair bit smarter, even if some edges are still a lil rough.","Which linguistic phenomena (e.g., argument structure, frame evoking elements) showed the largest performance gains?",0.5793,Weakly Relevant,Weak
3,we report on results of combining graphical modeling techniques with information extraction resources ( pattern dictionary and lexicon ) for both frame and semantic role assignment . our approach demonstrates the use of two human built knowledge bases ( wordnet and framenet ) for the task of semantic extraction .,"We mixed grafical modeling with info-extraction tools (a pattern dictonary + a lexicon) to label both frames and the semantic roles in text. Think of it like: the models handle the structurey bits, while the IE resources give us handy cues from real phrases. We also plugged in two human-built knowledge bases wordnet and framenet to guide the semantic pulling-out step. Result: cleaner frame/role asignments than using any single thing alone. It’s not magic, but the combo plays nice together and makes the extractor a fair bit smarter, even if some edges are still a lil rough.","How can the abstract be revised to replace informal phrasing with precise methodological descriptions and correct spelling errors (graphical, dictionary, assignments)?",0.6118,Weakly Relevant,Weak
4,"in this paper , we will compare and evaluate the effectiveness of different statistical methods in the task of cross-document coreference resolution . we created entity models for different test sets and compare the following disambiguation and clustering techniques to cluster the entity models in order to create coreference chains : incremental vector space kl-divergence agglomerative vector space
","We’re comparing how well a few stats methods link mentions of the same entitiy across different docments (aka cross-document coreferece). First we build simple entity models for each name/mention in a couple test sets, then we try to group them into clean coref chains. The methods we test are: (1) an incremental vector-space approach that updates the profile as new articals show up, (2) a KL-divergence based disambig step that compares probability distribtions, and (3) an agglomorative vector-space clustring baseline. Then we check which setup preforms best at making coherent chains some do better than others, but none are perfect.","What evaluation metric (B^3, MUC, CEAF) was used to compare the three clustering methods?",0.3005,Weakly Relevant,Weak
4,"in this paper , we will compare and evaluate the effectiveness of different statistical methods in the task of cross-document coreference resolution . we created entity models for different test sets and compare the following disambiguation and clustering techniques to cluster the entity models in order to create coreference chains : incremental vector space kl-divergence agglomerative vector space
","We’re comparing how well a few stats methods link mentions of the same entitiy across different docments (aka cross-document coreferece). First we build simple entity models for each name/mention in a couple test sets, then we try to group them into clean coref chains. The methods we test are: (1) an incremental vector-space approach that updates the profile as new articals show up, (2) a KL-divergence based disambig step that compares probability distribtions, and (3) an agglomorative vector-space clustring baseline. Then we check which setup preforms best at making coherent chains some do better than others, but none are perfect.",How was the entity model representation constructed for each mention across documents?,0.2808,Partially Relevant,Moderate
4,"in this paper , we will compare and evaluate the effectiveness of different statistical methods in the task of cross-document coreference resolution . we created entity models for different test sets and compare the following disambiguation and clustering techniques to cluster the entity models in order to create coreference chains : incremental vector space kl-divergence agglomerative vector space
","We’re comparing how well a few stats methods link mentions of the same entitiy across different docments (aka cross-document coreferece). First we build simple entity models for each name/mention in a couple test sets, then we try to group them into clean coref chains. The methods we test are: (1) an incremental vector-space approach that updates the profile as new articals show up, (2) a KL-divergence based disambig step that compares probability distribtions, and (3) an agglomorative vector-space clustring baseline. Then we check which setup preforms best at making coherent chains some do better than others, but none are perfect.",Which of the three methods achieved the highest coreference chain accuracy?,0.6977,Relevant,Strong
4,"in this paper , we will compare and evaluate the effectiveness of different statistical methods in the task of cross-document coreference resolution . we created entity models for different test sets and compare the following disambiguation and clustering techniques to cluster the entity models in order to create coreference chains : incremental vector space kl-divergence agglomerative vector space
","We’re comparing how well a few stats methods link mentions of the same entitiy across different docments (aka cross-document coreferece). First we build simple entity models for each name/mention in a couple test sets, then we try to group them into clean coref chains. The methods we test are: (1) an incremental vector-space approach that updates the profile as new articals show up, (2) a KL-divergence based disambig step that compares probability distribtions, and (3) an agglomorative vector-space clustring baseline. Then we check which setup preforms best at making coherent chains some do better than others, but none are perfect.",How did the incremental vector space approach differ algorithmically from the agglomerative baseline?,0.7003,Weakly Relevant,Weak
4,"in this paper , we will compare and evaluate the effectiveness of different statistical methods in the task of cross-document coreference resolution . we created entity models for different test sets and compare the following disambiguation and clustering techniques to cluster the entity models in order to create coreference chains : incremental vector space kl-divergence agglomerative vector space
","We’re comparing how well a few stats methods link mentions of the same entitiy across different docments (aka cross-document coreferece). First we build simple entity models for each name/mention in a couple test sets, then we try to group them into clean coref chains. The methods we test are: (1) an incremental vector-space approach that updates the profile as new articals show up, (2) a KL-divergence based disambig step that compares probability distribtions, and (3) an agglomorative vector-space clustring baseline. Then we check which setup preforms best at making coherent chains some do better than others, but none are perfect.","How can the abstract be revised to correct spelling errors (entity, documents, coreference, agglomerative, performs) and state specific performance differences?",0.4002,Weakly Relevant,Weak
5,"the benefit of stochastic pp attachment to a rule-based parser
to study pp attachment disambiguation as a benchmark for empirical methods in natural language processing it has often been reduced to a binary decision problem ( between verb or noun attachment ) in a particular syntactic configuration . a parser , however , must solve the more general task of deciding between more than two alternatives in many different contexts . we combine the attachment predictions made by a simple model of lexical attraction with a full-fledged parser of german to determine the actual benefit of the subtask to parsing . we show that the combination of data-driven and rule-based components can reduce the number of all parsing errors by 14 % and raise the attachment accuracy for dependency parsing of german to an unprecedented 92 % .","We built OpenSonar, an online tool for analysing and searching the big Dutch reference corpus (SoNaR). The corpus is massive, which made it kinda hard for less techy reseachers to get at the good stuff. So the goal here is a friendlier intreface that lets people browse, search, and explore without needing command-line foo.
To make sure it’s actually useful (not just fancy buttons), we lined up a few user groups teachers, students, corpus folks, and other lang-people and asked them for practial use-cases. Their feedback basically drives what we build next: what views matter, which filters are needed, and how results should be shown.
The current system is alreadly in use in eductional settings and reseach projects. It’s not perfect yet, but the user-driven bits keep nudging the UI in the right direction, so more people can work with the SoNaR data without jumping thru tech hoops.",How was the lexical attraction model specifically trained and what features did it use?,0.3003,Weakly Relevant,Weak
5,"the benefit of stochastic pp attachment to a rule-based parser
to study pp attachment disambiguation as a benchmark for empirical methods in natural language processing it has often been reduced to a binary decision problem ( between verb or noun attachment ) in a particular syntactic configuration . a parser , however , must solve the more general task of deciding between more than two alternatives in many different contexts . we combine the attachment predictions made by a simple model of lexical attraction with a full-fledged parser of german to determine the actual benefit of the subtask to parsing . we show that the combination of data-driven and rule-based components can reduce the number of all parsing errors by 14 % and raise the attachment accuracy for dependency parsing of german to an unprecedented 92 % .","We built OpenSonar, an online tool for analysing and searching the big Dutch reference corpus (SoNaR). The corpus is massive, which made it kinda hard for less techy reseachers to get at the good stuff. So the goal here is a friendlier intreface that lets people browse, search, and explore without needing command-line foo.
To make sure it’s actually useful (not just fancy buttons), we lined up a few user groups teachers, students, corpus folks, and other lang-people and asked them for practial use-cases. Their feedback basically drives what we build next: what views matter, which filters are needed, and how results should be shown.
The current system is alreadly in use in eductional settings and reseach projects. It’s not perfect yet, but the user-driven bits keep nudging the UI in the right direction, so more people can work with the SoNaR data without jumping thru tech hoops.",What was the exact reduction in parsing errors (14% relative or absolute)?,0.5063,Weakly Relevant,Weak
5,"the benefit of stochastic pp attachment to a rule-based parser
to study pp attachment disambiguation as a benchmark for empirical methods in natural language processing it has often been reduced to a binary decision problem ( between verb or noun attachment ) in a particular syntactic configuration . a parser , however , must solve the more general task of deciding between more than two alternatives in many different contexts . we combine the attachment predictions made by a simple model of lexical attraction with a full-fledged parser of german to determine the actual benefit of the subtask to parsing . we show that the combination of data-driven and rule-based components can reduce the number of all parsing errors by 14 % and raise the attachment accuracy for dependency parsing of german to an unprecedented 92 % .","We built OpenSonar, an online tool for analysing and searching the big Dutch reference corpus (SoNaR). The corpus is massive, which made it kinda hard for less techy reseachers to get at the good stuff. So the goal here is a friendlier intreface that lets people browse, search, and explore without needing command-line foo.
To make sure it’s actually useful (not just fancy buttons), we lined up a few user groups teachers, students, corpus folks, and other lang-people and asked them for practial use-cases. Their feedback basically drives what we build next: what views matter, which filters are needed, and how results should be shown.
The current system is alreadly in use in eductional settings and reseach projects. It’s not perfect yet, but the user-driven bits keep nudging the UI in the right direction, so more people can work with the SoNaR data without jumping thru tech hoops.",How was the 92% attachment accuracy measured and against what baseline?,0.0312,Weakly Relevant,Weak
5,"the benefit of stochastic pp attachment to a rule-based parser
to study pp attachment disambiguation as a benchmark for empirical methods in natural language processing it has often been reduced to a binary decision problem ( between verb or noun attachment ) in a particular syntactic configuration . a parser , however , must solve the more general task of deciding between more than two alternatives in many different contexts . we combine the attachment predictions made by a simple model of lexical attraction with a full-fledged parser of german to determine the actual benefit of the subtask to parsing . we show that the combination of data-driven and rule-based components can reduce the number of all parsing errors by 14 % and raise the attachment accuracy for dependency parsing of german to an unprecedented 92 % .","We built OpenSonar, an online tool for analysing and searching the big Dutch reference corpus (SoNaR). The corpus is massive, which made it kinda hard for less techy reseachers to get at the good stuff. So the goal here is a friendlier intreface that lets people browse, search, and explore without needing command-line foo.
To make sure it’s actually useful (not just fancy buttons), we lined up a few user groups teachers, students, corpus folks, and other lang-people and asked them for practial use-cases. Their feedback basically drives what we build next: what views matter, which filters are needed, and how results should be shown.
The current system is alreadly in use in eductional settings and reseach projects. It’s not perfect yet, but the user-driven bits keep nudging the UI in the right direction, so more people can work with the SoNaR data without jumping thru tech hoops.",Which parser configurations benefited most from the stochastic PP attachment component?,0.9393,Partially Relevant,Moderate
5,"the benefit of stochastic pp attachment to a rule-based parser
to study pp attachment disambiguation as a benchmark for empirical methods in natural language processing it has often been reduced to a binary decision problem ( between verb or noun attachment ) in a particular syntactic configuration . a parser , however , must solve the more general task of deciding between more than two alternatives in many different contexts . we combine the attachment predictions made by a simple model of lexical attraction with a full-fledged parser of german to determine the actual benefit of the subtask to parsing . we show that the combination of data-driven and rule-based components can reduce the number of all parsing errors by 14 % and raise the attachment accuracy for dependency parsing of german to an unprecedented 92 % .","We built OpenSonar, an online tool for analysing and searching the big Dutch reference corpus (SoNaR). The corpus is massive, which made it kinda hard for less techy reseachers to get at the good stuff. So the goal here is a friendlier intreface that lets people browse, search, and explore without needing command-line foo.
To make sure it’s actually useful (not just fancy buttons), we lined up a few user groups teachers, students, corpus folks, and other lang-people and asked them for practial use-cases. Their feedback basically drives what we build next: what views matter, which filters are needed, and how results should be shown.
The current system is alreadly in use in eductional settings and reseach projects. It’s not perfect yet, but the user-driven bits keep nudging the UI in the right direction, so more people can work with the SoNaR data without jumping thru tech hoops.","How can the abstract be revised to correct spelling errors (parser, German, attraction, perfect) and replace vague quantifiers with precise numbers?",0,Weakly Relevant,Weak
6,"a cohesion graph based approach for unsupervised recognition of literal and non-literal use of multiword expressions
we present a graph-based model for representing the lexical cohesion of a discourse . in the graph structure , vertices correspond to the content words of a text and edges connecting pairs of words encode how closely the words are related semantically . we show that such a structure can be used to distinguish literal and non-literal usages of multi-word expressions .
","We looked at the old headache of PP attachment you know, deciding whether a prepositional phrase sticks to the verb or the noun. Lots of benchmarks make it a neat little binary thing (verb vs. noun) in one tidy setup, but a real praser has to juggle more than two choices across tons of messy contexts. So we mixed a super simple lexical attraaction model (it guesses where a PP “likes” to go) with a full-on Greman parser to see if this subtask actually helps the whole pipeline, not just the toy case.
Turns out the combo of data-driven bits + rule-based logic plays nice together: we cut overall parsing errors by about 14% and pushed PP-attachment accuracy for German dep parsing up to around 92%, which is kinda unprecedented for this setup. Not gonna lie, some edges are still rough (and a few decisions feel a bit hand-wavy), but the hybrid setup does real work instead of just looking clever on paper. Pretty solid win, even if it’s not perfct.",What semantic relatedness measure was used to weight edges between content words?,0.7008,Weakly Relevant,Weak
6,"a cohesion graph based approach for unsupervised recognition of literal and non-literal use of multiword expressions
we present a graph-based model for representing the lexical cohesion of a discourse . in the graph structure , vertices correspond to the content words of a text and edges connecting pairs of words encode how closely the words are related semantically . we show that such a structure can be used to distinguish literal and non-literal usages of multi-word expressions .
","We looked at the old headache of PP attachment you know, deciding whether a prepositional phrase sticks to the verb or the noun. Lots of benchmarks make it a neat little binary thing (verb vs. noun) in one tidy setup, but a real praser has to juggle more than two choices across tons of messy contexts. So we mixed a super simple lexical attraaction model (it guesses where a PP “likes” to go) with a full-on Greman parser to see if this subtask actually helps the whole pipeline, not just the toy case.
Turns out the combo of data-driven bits + rule-based logic plays nice together: we cut overall parsing errors by about 14% and pushed PP-attachment accuracy for German dep parsing up to around 92%, which is kinda unprecedented for this setup. Not gonna lie, some edges are still rough (and a few decisions feel a bit hand-wavy), but the hybrid setup does real work instead of just looking clever on paper. Pretty solid win, even if it’s not perfct.",What threshold or graph property distinguishes literal from non-literal usages?,0.8858,Partially Relevant,Moderate
6,"a cohesion graph based approach for unsupervised recognition of literal and non-literal use of multiword expressions
we present a graph-based model for representing the lexical cohesion of a discourse . in the graph structure , vertices correspond to the content words of a text and edges connecting pairs of words encode how closely the words are related semantically . we show that such a structure can be used to distinguish literal and non-literal usages of multi-word expressions .
","We looked at the old headache of PP attachment you know, deciding whether a prepositional phrase sticks to the verb or the noun. Lots of benchmarks make it a neat little binary thing (verb vs. noun) in one tidy setup, but a real praser has to juggle more than two choices across tons of messy contexts. So we mixed a super simple lexical attraaction model (it guesses where a PP “likes” to go) with a full-on Greman parser to see if this subtask actually helps the whole pipeline, not just the toy case.
Turns out the combo of data-driven bits + rule-based logic plays nice together: we cut overall parsing errors by about 14% and pushed PP-attachment accuracy for German dep parsing up to around 92%, which is kinda unprecedented for this setup. Not gonna lie, some edges are still rough (and a few decisions feel a bit hand-wavy), but the hybrid setup does real work instead of just looking clever on paper. Pretty solid win, even if it’s not perfct.",What evaluation dataset was used and what accuracy or F1 was achieved?,0,Weakly Relevant,Weak
6,"a cohesion graph based approach for unsupervised recognition of literal and non-literal use of multiword expressions
we present a graph-based model for representing the lexical cohesion of a discourse . in the graph structure , vertices correspond to the content words of a text and edges connecting pairs of words encode how closely the words are related semantically . we show that such a structure can be used to distinguish literal and non-literal usages of multi-word expressions .
","We looked at the old headache of PP attachment you know, deciding whether a prepositional phrase sticks to the verb or the noun. Lots of benchmarks make it a neat little binary thing (verb vs. noun) in one tidy setup, but a real praser has to juggle more than two choices across tons of messy contexts. So we mixed a super simple lexical attraaction model (it guesses where a PP “likes” to go) with a full-on Greman parser to see if this subtask actually helps the whole pipeline, not just the toy case.
Turns out the combo of data-driven bits + rule-based logic plays nice together: we cut overall parsing errors by about 14% and pushed PP-attachment accuracy for German dep parsing up to around 92%, which is kinda unprecedented for this setup. Not gonna lie, some edges are still rough (and a few decisions feel a bit hand-wavy), but the hybrid setup does real work instead of just looking clever on paper. Pretty solid win, even if it’s not perfct.",How does the model handle multi-word expressions spanning non-adjacent words?,0.3023,Weakly Relevant,Weak
